sample_code,population,count,total_count,percentage
sample01706,monocyte,21846,109440,19.96162280701754
sample01706,nk_cell,14137,109440,12.917580409356724
sample01707,b_cell,8448,91398,9.243090658438916
sample01707,cd4_t_cell,25942,91398,28.383553250618178
sample01707,cd8_t_cell,22648,91398,24.77953565723539
sample01707,monocyte,17354,91398,18.987286373881265
sample01707,nk_cell,17006,91398,18.606534059826256
sample01708,b_cell,4876,89651,5.43886850118794
sample01708,cd4_t_cell,32317,89651,36.04756221347225
sample01708,cd8_t_cell,18941,89651,21.127483240566196
sample01708,monocyte,20165,89651,22.492777548493603
sample01708,nk_cell,13352,89651,14.893308496280019
sample01709,b_cell,8450,89991,9.389827871676056
sample01709,cd4_t_cell,23231,89991,25.81480370259248
sample01709,cd8_t_cell,27790,89991,30.880865864364214
sample01709,monocyte,19253,89991,21.39436165838806
sample01709,nk_cell,11267,89991,12.520140902979188
sample01710,b_cell,20182,105837,19.068945642828123
sample01710,cd4_t_cell,26629,105837,25.1603881440328
sample01710,cd8_t_cell,33587,105837,31.73464856335686
sample01710,monocyte,12715,105837,12.01375700369436
sample01710,nk_cell,12724,105837,12.022260646087853
sample01711,b_cell,10197,101037,10.092342409216426
sample01711,cd4_t_cell,25850,101037,25.58468679790572
sample01711,cd8_t_cell,18572,101037,18.381385037164602
sample01711,monocyte,21764,101037,21.540623731900194
sample01711,nk_cell,24654,101037,24.400962023813058
sample01712,b_cell,12085,105389,11.467041152302421
sample01712,cd4_t_cell,42004,105389,39.85615197031948
sample01712,cd8_t_cell,20993,105389,19.9195361944795
sample01712,monocyte,12777,105389,12.123656169049902
sample01712,nk_cell,17530,105389,16.633614513848695
sample01713,b_cell,6688,96101,6.959344855932821
sample01713,cd4_t_cell,30713,96101,31.95908471295824
sample01713,cd8_t_cell,24510,96101,25.50441722770835
sample01713,monocyte,24920,96101,25.931051706017627
sample01713,nk_cell,9270,96101,9.646101497382961
sample01714,b_cell,9542,107339,8.889592785474058
sample01714,cd4_t_cell,34507,107339,32.1476816441368
sample01714,cd8_t_cell,25545,107339,23.798433001984368
sample01714,monocyte,20234,107339,18.850557579258236
sample01714,nk_cell,17511,107339,16.313734989146536
sample01715,b_cell,12573,104787,11.998625783732715
sample01715,cd4_t_cell,24947,104787,23.80734251386145
sample01715,cd8_t_cell,30972,104787,29.557101548856252
sample01715,monocyte,25064,104787,23.918997585578364
sample01715,nk_cell,11231,104787,10.717932567971218
sample01716,b_cell,12024,95162,12.635295601185348
sample01716,cd4_t_cell,27558,95162,28.95903827157899
sample01716,cd8_t_cell,25673,95162,26.978205586263428
sample01716,monocyte,16247,95162,17.07299132006473
sample01716,nk_cell,13660,95162,14.354469220907507
sample01717,b_cell,9940,88325,11.253891876592132
sample01717,cd4_t_cell,28056,88325,31.76450608547976
sample01717,cd8_t_cell,26208,88325,29.67223322954996
sample01717,monocyte,13719,88325,15.532408717803566
sample01717,nk_cell,10402,88325,11.776960090574583
sample01718,b_cell,13064,90647,14.41194965084338
sample01718,cd4_t_cell,23363,90647,25.773605304091696
sample01718,cd8_t_cell,17357,90647,19.147903405518107
sample01718,monocyte,17925,90647,19.774509912076514
sample01718,nk_cell,18938,90647,20.892031727470297
sample01719,b_cell,9357,96224,9.724185234452944
sample01719,cd4_t_cell,27132,96224,28.196707682075157
sample01719,cd8_t_cell,17303,96224,17.982000332557366
sample01719,monocyte,27872,96224,28.965746591286994
sample01719,nk_cell,14560,96224,15.131360159627535
sample01720,b_cell,5375,92872,5.787535532776294
sample01720,cd4_t_cell,37372,92872,40.240330777844775
sample01720,cd8_t_cell,17481,92872,18.8226806787837
sample01720,monocyte,16038,92872,17.268929279007665
sample01720,nk_cell,16606,92872,17.880523731587562
sample01721,b_cell,16543,96252,17.187175331421685
sample01721,cd4_t_cell,34155,96252,35.484976935544196
sample01721,cd8_t_cell,22821,96252,23.70963720234385
sample01721,monocyte,12527,96252,13.014794497776668
sample01721,nk_cell,10206,96252,10.603416032913602
sample01722,b_cell,9531,89351,10.666920347841659
sample01722,cd4_t_cell,30723,89351,34.38461796734228
sample01722,cd8_t_cell,20712,89351,23.180490425400947
sample01722,monocyte,15273,89351,17.09326140725901
sample01722,nk_cell,13112,89351,14.674709852156104
sample01723,b_cell,18810,108032,17.4115077014218
sample01723,cd4_t_cell,40052,108032,37.074200236966824
sample01723,cd8_t_cell,22771,108032,21.07801392180095
sample01723,monocyte,18169,108032,16.81816498815166
sample01723,nk_cell,8230,108032,7.6181131516587675
sample01724,b_cell,6961,95018,7.325980340567051
sample01724,cd4_t_cell,32888,95018,34.61238923151403
sample01724,cd8_t_cell,31058,95018,32.686438359047756
sample01724,monocyte,14001,95018,14.73510282262308
sample01724,nk_cell,10110,95018,10.64008924624808
sample01725,b_cell,9890,101696,9.725062932662052
sample01725,cd4_t_cell,30368,101696,29.861548143486473
sample01725,cd8_t_cell,20632,101696,20.28791692888609
sample01725,monocyte,23092,101696,22.70689112649465
sample01725,nk_cell,17714,101696,17.418580868470737
sample01726,b_cell,6636,92827,7.1487821431264615
sample01726,cd4_t_cell,28445,92827,30.643024120137458
sample01726,cd8_t_cell,21179,92827,22.815560127980007
sample01726,monocyte,26260,92827,28.289183104053777
sample01726,nk_cell,10307,92827,11.103450504702296
sample01727,b_cell,9613,89621,10.726280670824918
sample01727,cd4_t_cell,38855,89621,43.35479407728099
sample01727,cd8_t_cell,15879,89621,17.71794557079256
sample01727,monocyte,16877,89621,18.83152386159494
sample01727,nk_cell,8397,89621,9.36945581950659
sample01728,b_cell,5524,111032,4.975142301318539
sample01728,cd4_t_cell,42926,111032,38.660926579724766
sample01728,cd8_t_cell,20090,111032,18.093882844585345
sample01728,monocyte,21283,111032,19.16834786367894
sample01728,nk_cell,21209,111032,19.101700410692413
sample01729,b_cell,6764,106099,6.375177899885956
sample01729,cd4_t_cell,30449,106099,28.698668224959707
sample01729,cd8_t_cell,31067,106099,29.281143083346684
sample01729,monocyte,22966,106099,21.645821355526444
sample01729,nk_cell,14853,106099,13.99918943628121
sample01730,b_cell,15069,106929,14.09252868725977
sample01730,cd4_t_cell,27558,106929,25.77224139382207
sample01730,cd8_t_cell,29963,106929,28.021397375828823
sample01730,monocyte,22104,106929,20.671660634626715
sample01730,nk_cell,12235,106929,11.442171908462624
sample01731,b_cell,10120,92980,10.88406108840611
sample01731,cd4_t_cell,35671,92980,38.36416433641644
sample01731,cd8_t_cell,19020,92980,20.456012045601206
sample01731,monocyte,16809,92980,18.07808130780813
sample01731,nk_cell,11360,92980,12.217681221768121
sample01732,b_cell,9384,103666,9.052148245326338
sample01732,cd4_t_cell,30697,103666,29.61144444658808
sample01732,cd8_t_cell,21113,103666,20.36636891555573
sample01732,monocyte,21342,103666,20.587270657689118
sample01732,nk_cell,21130,103666,20.38276773484074
sample01733,b_cell,8655,95807,9.033786675295124
sample01733,cd4_t_cell,37952,95807,39.612971912281985
sample01733,cd8_t_cell,22124,95807,23.09225839448057
sample01733,monocyte,13292,95807,13.873725301909046
sample01733,nk_cell,13784,95807,14.387257716033275
sample01734,b_cell,11678,91138,12.813535517566768
sample01734,cd4_t_cell,20287,91138,22.2596502007944
sample01734,cd8_t_cell,21138,91138,23.193399021264455
sample01734,monocyte,17086,91138,18.747394061752505
sample01734,nk_cell,20949,91138,22.98602119862187
sample01735,b_cell,11948,88899,13.439971203275627
sample01735,cd4_t_cell,25059,88899,28.188168595822226
sample01735,cd8_t_cell,23780,88899,26.749457249237903
sample01735,monocyte,15925,88899,17.913587329441278
sample01735,nk_cell,12187,88899,13.708815622222973
sample01736,b_cell,8209,92736,8.852010006901311
sample01736,cd4_t_cell,25977,92736,28.01177536231884
sample01736,cd8_t_cell,25616,92736,27.622498274672186
sample01736,monocyte,18206,92736,19.632073844030366
sample01736,nk_cell,14728,92736,15.881642512077295
sample01737,b_cell,11437,94419,12.11302809815821
sample01737,cd4_t_cell,19696,94419,20.860208220803017
sample01737,cd8_t_cell,19645,94419,20.8061936686472
sample01737,monocyte,26636,94419,28.21042374945721
sample01737,nk_cell,17005,94419,18.010146262934366
sample01738,b_cell,11121,96247,11.554645859091712
sample01738,cd4_t_cell,30322,96247,31.50435857741021
sample01738,cd8_t_cell,21583,96247,22.424595052313318
sample01738,monocyte,15940,96247,16.561555165355806
sample01738,nk_cell,17281,96247,17.95484534582896
sample01739,b_cell,7323,92020,7.9580525972614655
sample01739,cd4_t_cell,31300,92020,34.014344707672244
sample01739,cd8_t_cell,27244,92020,29.606607259291458
sample01739,monocyte,11652,92020,12.66246468159096
sample01739,nk_cell,14501,92020,15.758530754183871
sample01740,b_cell,8844,105544,8.379443644356856
sample01740,cd4_t_cell,31222,105544,29.581975289926476
sample01740,cd8_t_cell,23618,105544,22.377397104525127
sample01740,monocyte,21571,105544,20.43792162510422
sample01740,nk_cell,20289,105544,19.22326233608732
sample01741,b_cell,20510,107391,19.09843469192018
sample01741,cd4_t_cell,25277,107391,23.537354154444973
sample01741,cd8_t_cell,30476,107391,28.378541963479247
sample01741,monocyte,15114,107391,14.073805067463754
sample01741,nk_cell,16014,107391,14.911864122691846
sample01742,b_cell,8892,91957,9.669736942266493
sample01742,cd4_t_cell,22404,91957,24.363561229705187
sample01742,cd8_t_cell,24829,91957,27.00066335352393
sample01742,monocyte,23270,91957,25.30530574072664
sample01742,nk_cell,12562,91957,13.660732733777744
sample01743,b_cell,8555,106107,8.062616038527146
sample01743,cd4_t_cell,33740,106107,31.798090606651776
sample01743,cd8_t_cell,21680,106107,20.432205226799365
sample01743,monocyte,23047,106107,21.720527392160744
sample01743,nk_cell,19085,106107,17.98656073586097
sample01744,b_cell,6095,90676,6.721734527328069
sample01744,cd4_t_cell,26315,90676,29.0209096122458
sample01744,cd8_t_cell,21201,90676,23.38104900966077
sample01744,monocyte,16589,90676,18.294807887423353
sample01744,nk_cell,20476,90676,22.58149896334201
sample01745,b_cell,7219,99847,7.230061994852124
sample01745,cd4_t_cell,28552,99847,28.595751499794687
sample01745,cd8_t_cell,21339,99847,21.371698699009485
sample01745,monocyte,21075,99847,21.1072941600649
sample01745,nk_cell,21662,99847,21.695193646278806
sample01746,b_cell,12371,100465,12.313741103867018
sample01746,cd4_t_cell,28043,100465,27.913203603244913
sample01746,cd8_t_cell,17277,100465,17.197033792863188
sample01746,monocyte,18485,100465,18.399442591947444
sample01746,nk_cell,24289,100465,24.17657890807744
sample01747,b_cell,10852,105164,10.319120611616142
sample01747,cd4_t_cell,19467,105164,18.5110874443726
sample01747,cd8_t_cell,36936,105164,35.122285192651475
sample01747,monocyte,22714,105164,21.59864592446084
sample01747,nk_cell,15195,105164,14.448860826898938
sample01748,b_cell,9956,96632,10.303005215663548
sample01748,cd4_t_cell,27021,96632,27.96278665452438
sample01748,cd8_t_cell,17473,96632,18.08200182134283
sample01748,monocyte,25127,96632,26.002773408394734
sample01748,nk_cell,17055,96632,17.649432900074512
sample01749,b_cell,12547,104427,12.015091882367587
sample01749,cd4_t_cell,25624,104427,24.53771534181773
sample01749,cd8_t_cell,24218,104427,23.191320252425136
sample01749,monocyte,20515,104427,19.645302460091738
sample01749,nk_cell,21523,104427,20.610570063297807
sample01750,b_cell,12204,102783,11.873558857009428
sample01750,cd4_t_cell,30003,102783,29.190624908788422
sample01750,cd8_t_cell,27164,102783,26.42849498457916
sample01750,monocyte,18568,102783,18.0652442524542
sample01750,nk_cell,14844,102783,14.442076997168792
sample01751,b_cell,7022,103777,6.76643186833306
sample01751,cd4_t_cell,33566,103777,32.344353758539945
sample01751,cd8_t_cell,31033,103777,29.903543174306446
sample01751,monocyte,17849,103777,17.19937943860393
sample01751,nk_cell,14307,103777,13.786291760216617
sample01752,b_cell,9620,98420,9.774436090225564
sample01752,cd4_t_cell,29085,98420,29.551920341394027
sample01752,cd8_t_cell,31280,98420,31.782158097947573
sample01752,monocyte,18043,98420,18.332655964234913
sample01752,nk_cell,10392,98420,10.558829506197927
sample01753,b_cell,9077,103066,8.806978052898144
sample01753,cd4_t_cell,30133,103066,29.236605670153104
sample01753,cd8_t_cell,28631,103066,27.779287058777868
sample01753,monocyte,20229,103066,19.627229154134245
sample01753,nk_cell,14996,103066,14.549900064036636
sample01754,b_cell,9375,93898,9.984238215936442
sample01754,cd4_t_cell,28807,93898,30.67903469722465
sample01754,cd8_t_cell,20628,93898,21.968519031289272
sample01754,monocyte,18370,93898,19.563781976186924
sample01754,nk_cell,16718,93898,17.804426079362713
sample01755,b_cell,9443,100250,9.419451371571071
sample01755,cd4_t_cell,28707,100250,28.6354114713217
sample01755,cd8_t_cell,33387,100250,33.303740648379055
sample01755,monocyte,17893,100250,17.848379052369076
sample01755,nk_cell,10820,100250,10.793017456359102
sample01756,b_cell,10020,112168,8.933029027886741
sample01756,cd4_t_cell,33437,112168,29.80974966122245
sample01756,cd8_t_cell,29950,112168,26.701019898723345
sample01756,monocyte,20473,112168,18.252086156479567
sample01756,nk_cell,18288,112168,16.304115255687897
sample01757,b_cell,7239,109764,6.595058489122116
sample01757,cd4_t_cell,35839,109764,32.650960241973685
sample01757,cd8_t_cell,29216,109764,26.6171057906053
sample01757,monocyte,19020,109764,17.32808571116213
sample01757,nk_cell,18450,109764,16.808789767136766
sample01758,b_cell,16475,105381,15.633748019092625
sample01758,cd4_t_cell,25943,105381,24.618289824541424
sample01758,cd8_t_cell,31376,105381,29.773868154600926
sample01758,monocyte,18287,105381,17.353223066776742
sample01758,nk_cell,13300,105381,12.620870934988282
sample01759,b_cell,20957,111937,18.722138345676587
sample01759,cd4_t_cell,26957,111937,24.08229629166406
sample01759,cd8_t_cell,27612,111937,24.66744686743436
sample01759,monocyte,24389,111937,21.788148690781423
sample01759,nk_cell,12022,111937,10.73996980444357
sample01760,b_cell,13405,96307,13.919029769383325
sample01760,cd4_t_cell,29811,96307,30.95413625177817
sample01760,cd8_t_cell,22716,96307,23.587070514085166
sample01760,monocyte,21005,96307,21.810460298836016
sample01760,nk_cell,9370,96307,9.729303165917328
sample01761,b_cell,11045,107602,10.264679095184103
sample01761,cd4_t_cell,30538,107602,28.380513373357374
sample01761,cd8_t_cell,26375,107602,24.511626177952085
sample01761,monocyte,30045,107602,27.922343450865228
sample01761,nk_cell,9599,107602,8.920837902641216
sample01762,b_cell,8153,102524,7.9522843431781824
sample01762,cd4_t_cell,31651,102524,30.871795872186027
sample01762,cd8_t_cell,31517,102524,30.74109476805431
sample01762,monocyte,11298,102524,11.019858764777029
sample01762,nk_cell,19905,102524,19.414966251804454
sample01763,b_cell,16018,96323,16.629465444390227
sample01763,cd4_t_cell,24903,96323,25.853638279538636
sample01763,cd8_t_cell,13958,96323,14.490827735847098
sample01763,monocyte,30804,96323,31.979900958234275
sample01763,nk_cell,10640,96323,11.046167581989764
sample01764,b_cell,14306,98286,14.55548094336935
sample01764,cd4_t_cell,23940,98286,24.35748733288566
sample01764,cd8_t_cell,33492,98286,34.076063732372866
sample01764,monocyte,12303,98286,12.517550821073195
sample01764,nk_cell,14245,98286,14.493417170298923
sample01765,b_cell,5516,99875,5.522903629536921
sample01765,cd4_t_cell,30136,99875,30.17371714643304
sample01765,cd8_t_cell,23870,99875,23.899874843554443
sample01765,monocyte,22951,99875,22.979724655819776
sample01765,nk_cell,17402,99875,17.42377972465582
sample01766,b_cell,9009,96630,9.323191555417571
sample01766,cd4_t_cell,28980,96630,29.99068612232226
sample01766,cd8_t_cell,25758,96630,26.656317913691403
sample01766,monocyte,19858,96630,20.550553658284176
sample01766,nk_cell,13025,96630,13.47925075028459
sample01767,b_cell,7984,91733,8.703519998255807
sample01767,cd4_t_cell,33664,91733,36.69780776819683
sample01767,cd8_t_cell,26694,91733,29.099669693567197
sample01767,monocyte,14351,91733,15.64431556800715
sample01767,nk_cell,9040,91733,9.85468697197301
sample01768,b_cell,10175,101408,10.033725149889555
sample01768,cd4_t_cell,31045,101408,30.613955506468916
sample01768,cd8_t_cell,20860,101408,20.570369201640894
sample01768,monocyte,23754,101408,23.42418744083307
sample01768,nk_cell,15574,101408,15.35776270116756
sample01769,b_cell,11781,97311,12.106544994913216
sample01769,cd4_t_cell,38934,97311,40.00986527730678
sample01769,cd8_t_cell,19011,97311,19.536331966581375
sample01769,monocyte,11878,97311,12.206225401033798
sample01769,nk_cell,15707,97311,16.141032360164832
sample01770,b_cell,7837,93909,8.345313015791882
sample01770,cd4_t_cell,35103,93909,37.37980385266588
sample01770,cd8_t_cell,21055,93909,22.420641259091248
sample01770,monocyte,16796,93909,17.88539969544985
sample01770,nk_cell,13118,93909,13.96884217700114
sample01771,b_cell,10259,97854,10.483986347006766
sample01771,cd4_t_cell,23558,97854,24.07464181331371
sample01771,cd8_t_cell,24735,97854,25.277454166411182
sample01771,monocyte,17741,97854,18.130071330758067
sample01771,nk_cell,21561,97854,22.033846342510273
sample01772,b_cell,8725,99005,8.812686227968285
sample01772,cd4_t_cell,33937,99005,34.27806676430483
sample01772,cd8_t_cell,21912,99005,22.13221554466946
sample01772,monocyte,23090,99005,23.322054441694863
sample01772,nk_cell,11341,99005,11.454977021362557
sample01773,b_cell,6422,96663,6.643700278286417
sample01773,cd4_t_cell,28794,96663,29.788026442382296
sample01773,cd8_t_cell,29596,96663,30.61771308566877
sample01773,monocyte,18670,96663,19.314525723389508
sample01773,nk_cell,13181,96663,13.636034470273009
sample01774,b_cell,8185,98114,8.342336465743932
sample01774,cd4_t_cell,29833,98114,30.406465947775036
sample01774,cd8_t_cell,21607,98114,22.02234135801211
sample01774,monocyte,26078,98114,26.57928532115702
sample01774,nk_cell,12411,98114,12.649570907311903
sample01775,b_cell,8439,102060,8.268665490887713
sample01775,cd4_t_cell,31317,102060,30.68489124044679
sample01775,cd8_t_cell,30067,102060,29.460121497158536
sample01775,monocyte,21341,102060,20.910248873211838
sample01775,nk_cell,10896,102060,10.676072898295121
sample01776,b_cell,11235,105475,10.651813225882911
sample01776,cd4_t_cell,34094,105475,32.324247452002844
sample01776,cd8_t_cell,26796,105475,25.405072292012328
sample01776,monocyte,18187,105475,17.242948566010906
sample01776,nk_cell,15163,105475,14.375918464091017
sample01777,b_cell,9100,94386,9.64126035640879
sample01777,cd4_t_cell,25550,94386,27.069692539147756
sample01777,cd8_t_cell,27982,94386,29.646345856377003
sample01777,monocyte,20000,94386,21.189583200898436
sample01777,nk_cell,11754,94386,12.453118047168012
sample01778,b_cell,14046,94202,14.910511454109255
sample01778,cd4_t_cell,25472,94202,27.039765610071974
sample01778,cd8_t_cell,29616,94202,31.43882295492665
sample01778,monocyte,12016,94202,12.755567822339229
sample01778,nk_cell,13052,94202,13.855332158552896
sample01779,b_cell,17755,109276,16.247849482045464
sample01779,cd4_t_cell,43717,109276,40.00603975255317
sample01779,cd8_t_cell,18054,109276,16.521468574984443
sample01779,monocyte,12399,109276,11.346498773747209
sample01779,nk_cell,17351,109276,15.878143416669719
sample01780,b_cell,11699,101597,11.515103792434816
sample01780,cd4_t_cell,26783,101597,26.361998877919625
sample01780,cd8_t_cell,33730,101597,33.19979920666949
sample01780,monocyte,21376,101597,21.039991338326917
sample01780,nk_cell,8009,101597,7.883106784649153
sample01781,b_cell,15959,101645,15.700723104924
sample01781,cd4_t_cell,25672,101645,25.256530080181022
sample01781,cd8_t_cell,24493,101645,24.09661075311132
sample01781,monocyte,27496,101645,27.051010871169268
sample01781,nk_cell,8025,101645,7.895125190614394
sample01782,b_cell,10429,99145,10.518936910585506
sample01782,cd4_t_cell,33546,99145,33.83529174441475
sample01782,cd8_t_cell,20412,99145,20.58802763629028
sample01782,monocyte,18577,99145,18.737203086388625
sample01782,nk_cell,16181,99145,16.32054062232084
sample01783,b_cell,8839,99940,8.84430658395037
sample01783,cd4_t_cell,18453,99940,18.464078447068243
sample01783,cd8_t_cell,27040,99940,27.056233740244146
sample01783,monocyte,31710,99940,31.72903742245347
sample01783,nk_cell,13898,99940,13.906343806283768
sample01784,b_cell,9519,102513,9.285651575897692
sample01784,cd4_t_cell,38016,102513,37.08407714143572
sample01784,cd8_t_cell,26902,102513,26.242525338249784
sample01784,monocyte,18030,102513,17.588013227590647
sample01784,nk_cell,10046,102513,9.799732716826158
sample01785,b_cell,9716,109249,8.893445248926763
sample01785,cd4_t_cell,30017,109249,27.47576636857088
sample01785,cd8_t_cell,21944,109249,20.086225045538175
sample01785,monocyte,28845,109249,26.402987670367693
sample01785,nk_cell,18727,109249,17.14157566659649
sample01786,b_cell,8411,99447,8.457771476263739
sample01786,cd4_t_cell,33554,99447,33.74058543746921
sample01786,cd8_t_cell,22967,99447,23.09471376713224
sample01786,monocyte,19188,99447,19.294699689281728
sample01786,nk_cell,15327,99447,15.412229629853089
sample01787,b_cell,6297,105827,5.950277339431336
sample01787,cd4_t_cell,44996,105827,42.518449922987514
sample01787,cd8_t_cell,23671,105827,22.367637748400693
sample01787,monocyte,12498,105827,11.809840588885635
sample01787,nk_cell,18365,105827,17.35379440029482
sample01788,b_cell,11012,94468,11.656857348520134
sample01788,cd4_t_cell,20892,94468,22.11542532921201
sample01788,cd8_t_cell,19655,94468,20.805987212601092
sample01788,monocyte,28011,94468,29.651310496676125
sample01788,nk_cell,14898,94468,15.770419612990642
sample01789,b_cell,9646,110107,8.760569264442768
sample01789,cd4_t_cell,50630,110107,45.98254425240902
sample01789,cd8_t_cell,17626,110107,16.00806488234172
sample01789,monocyte,18103,110107,16.441279845968012
sample01789,nk_cell,14102,110107,12.807541754838475
sample01790,b_cell,15469,103644,14.925128323877889
sample01790,cd4_t_cell,29009,103644,27.98907799776157
sample01790,cd8_t_cell,17378,103644,16.767010150129288
sample01790,monocyte,29004,103644,27.984253791825864
sample01790,nk_cell,12784,103644,12.334529736405388
sample01791,b_cell,6057,97124,6.236357645895968
sample01791,cd4_t_cell,23705,97124,24.406943700836045
sample01791,cd8_t_cell,25401,97124,26.153165026152138
sample01791,monocyte,23262,97124,23.950825748527656
sample01791,nk_cell,18699,97124,19.252707878588197
sample01792,b_cell,10720,103122,10.395453928356705
sample01792,cd4_t_cell,31681,103122,30.721863423905667
sample01792,cd8_t_cell,19212,103122,18.630360155931807
sample01792,monocyte,31701,103122,30.741257927503344
sample01792,nk_cell,9808,103122,9.511064564302476
sample01793,b_cell,10533,92741,11.357436301096602
sample01793,cd4_t_cell,23840,92741,25.70599842572325
sample01793,cd8_t_cell,27916,92741,30.10103406260446
sample01793,monocyte,18824,92741,20.297387347559333
sample01793,nk_cell,11628,92741,12.538143863016357
sample01794,b_cell,6370,111311,5.722704853967712
sample01794,cd4_t_cell,30114,111311,27.05392997996604
sample01794,cd8_t_cell,36358,111311,32.66343847418494
sample01794,monocyte,24330,111311,21.857678037211056
sample01794,nk_cell,14139,111311,12.702248654670248
sample01795,b_cell,9483,106158,8.932911320861358
sample01795,cd4_t_cell,40400,106158,38.05648184781175
sample01795,cd8_t_cell,31344,106158,29.52580116430227
sample01795,monocyte,12250,106158,11.539403530586483
sample01795,nk_cell,12681,106158,11.945402136438139
sample01796,b_cell,18637,95144,19.58820314470697
sample01796,cd4_t_cell,24953,95144,26.22656184310098
sample01796,cd8_t_cell,16408,95144,17.245438493231312
sample01796,monocyte,23099,95144,24.277936601362146
sample01796,nk_cell,12047,95144,12.661859917598587
sample01797,b_cell,5660,105416,5.369203915914093
sample01797,cd4_t_cell,38693,105416,36.70505426121272
sample01797,cd8_t_cell,29755,105416,28.226265462548376
sample01797,monocyte,15739,105416,14.930371101161114
sample01797,nk_cell,15569,105416,14.769105259163695
sample01798,b_cell,9663,99524,9.70921586752944
sample01798,cd4_t_cell,34220,99524,34.38366625135646
sample01798,cd8_t_cell,30590,99524,30.736304810899885
sample01798,monocyte,13976,99524,14.04284393714079
sample01798,nk_cell,11075,99524,11.12796913307343
sample01799,b_cell,12517,104018,12.033494202926416
sample01799,cd4_t_cell,31442,104018,30.227460631813724
sample01799,cd8_t_cell,26231,104018,25.21775077390452
sample01799,monocyte,23745,104018,22.827779807341038
sample01799,nk_cell,10083,104018,9.693514584014306
sample01800,b_cell,11213,96296,11.644305059400182
sample01800,cd4_t_cell,33612,96296,34.90487663038963
sample01800,cd8_t_cell,22164,96296,23.016532358561104
sample01800,monocyte,15744,96296,16.34958876796544
sample01800,nk_cell,13563,96296,14.084697183683643
sample01801,b_cell,9301,108469,8.57480017332141
sample01801,cd4_t_cell,34666,108469,31.959361660935382
sample01801,cd8_t_cell,23753,108469,21.898422590786307
sample01801,monocyte,23651,108469,21.80438650674386
sample01801,nk_cell,17098,108469,15.763029068213038
sample01802,b_cell,7882,107256,7.348773029014693
sample01802,cd4_t_cell,33488,107256,31.22249571119564
sample01802,cd8_t_cell,27929,107256,26.039568881927348
sample01802,monocyte,20067,107256,18.709442828373238
sample01802,nk_cell,17890,107256,16.67971954948907
sample01803,b_cell,7539,102654,7.344087906949559
sample01803,cd4_t_cell,27490,102654,26.77927796286555
sample01803,cd8_t_cell,35243,102654,34.33183314824556
sample01803,monocyte,18519,102654,18.04021275352154
sample01803,nk_cell,13863,102654,13.504588228417791
sample01804,b_cell,4650,93139,4.992538034550511
sample01804,cd4_t_cell,24229,93139,26.01380732024179
sample01804,cd8_t_cell,26761,93139,28.732324804861552
sample01804,monocyte,15766,93139,16.92738809735986
sample01804,nk_cell,21733,93139,23.33394174298629
sample01805,b_cell,11407,106453,10.715527040102204
sample01805,cd4_t_cell,43407,106453,40.77574140700591
sample01805,cd8_t_cell,21970,106453,20.638215926277322
sample01805,monocyte,18230,106453,17.124928372145455
sample01805,nk_cell,11439,106453,10.745587254469108
sample01806,b_cell,12501,104112,12.007261410788383
sample01806,cd4_t_cell,26051,104112,25.022091593668357
sample01806,cd8_t_cell,30007,104112,28.821845704625787
sample01806,monocyte,23636,104112,22.702474258490856
sample01806,nk_cell,11917,104112,11.446327032426618
sample01807,b_cell,5622,108672,5.173365724381625
sample01807,cd4_t_cell,31836,108672,29.295494699646646
sample01807,cd8_t_cell,31126,108672,28.642152532391048
sample01807,monocyte,27635,108672,25.429733510011776
sample01807,nk_cell,12453,108672,11.459253533568905
sample01808,b_cell,15193,100780,15.075411788053186
sample01808,cd4_t_cell,36004,100780,35.72534232982735
sample01808,cd8_t_cell,25885,100780,25.68465965469339
sample01808,monocyte,18251,100780,18.10974399682477
sample01808,nk_cell,5447,100780,5.40484223060131
sample01809,b_cell,14260,110191,12.941165793939613
sample01809,cd4_t_cell,37302,110191,33.85212948425915
sample01809,cd8_t_cell,27341,110191,24.81237124629053
sample01809,monocyte,17252,110191,15.656451071321614
sample01809,nk_cell,14036,110191,12.73788240418909
sample01810,b_cell,8968,109048,8.223901401217812
sample01810,cd4_t_cell,35424,109048,32.484777345756
sample01810,cd8_t_cell,27329,109048,25.061440833394467
sample01810,monocyte,22390,109048,20.532242682121634
sample01810,nk_cell,14937,109048,13.697637737510087
sample01811,b_cell,11764,96001,12.254039020426871
sample01811,cd4_t_cell,26991,96001,28.11533213195696
sample01811,cd8_t_cell,18304,96001,19.0664680576244
sample01811,monocyte,16472,96001,17.158154602556223
sample01811,nk_cell,22470,96001,23.406006187435548
sample01812,b_cell,11274,102248,11.02613254048979
sample01812,cd4_t_cell,25857,102248,25.288514200766766
sample01812,cd8_t_cell,27174,102248,26.57655895469838
sample01812,monocyte,24358,102248,23.822470855175652
sample01812,nk_cell,13585,102248,13.286323448869416
sample01813,b_cell,7576,103589,7.313517844558786
sample01813,cd4_t_cell,27433,103589,26.482541582600472
sample01813,cd8_t_cell,24003,103589,23.17137920049426
sample01813,monocyte,30827,103589,29.758951239996524
sample01813,nk_cell,13750,103589,13.273610132349962
sample01814,b_cell,12762,102763,12.418866712727343
sample01814,cd4_t_cell,31034,102763,30.199585453908504
sample01814,cd8_t_cell,27134,102763,26.404445179685293
sample01814,monocyte,17124,102763,16.66358514251238
sample01814,nk_cell,14709,102763,14.31351751116647
